10,,10,,10,,10,
MCH 271120 Adk4 Arctic Express 500 mL Culture001:10_UV1_280nm,,MCH 271120 Adk4 Arctic Express 500 mL Culture001:10_Cond,,MCH 271120 Adk4 Arctic Express 500 mL Culture001:10_Fractions,,MCH 271120 Adk4 Arctic Express 500 mL Culture001:10_Inject,
ml, mAU,ml, mS/cm,ml,(Fractions),ml,(Injections)
0.00,-0.10,0.00,29.55,-0.13,F2,0.00,3
0.04,-0.22,0.05,29.61,-0.05,A1,,
0.08,-0.36,0.10,29.65,3.45,A2,,
0.12,-0.42,0.15,29.68,6.95,A3,,
0.16,-0.39,0.20,29.70,9.42,Waste,,
0.20,-0.23,0.25,29.71,9.52,Waste,,
0.24,0.09,0.30,29.68,9.66,F2,,
0.28,0.37,0.35,29.61,9.90,A4,,
0.32,0.69,0.40,29.58,12.40,A5,,
0.36,0.76,0.45,29.56,14.90,A6,,
0.40,0.85,0.50,29.57,17.40,A7,,
0.44,0.94,0.55,29.58,19.90,A8,,
0.48,1.02,0.60,29.58,21.71,A9,,
0.52,2.06,0.65,29.58,24.21,A10,,
0.56,52.76,0.70,29.53,24.87,A11,,
0.60,724.55,0.75,29.40,27.37,A12,,
0.64,1919.54,0.80,29.29,29.87,A13,,
0.67,3159.49,0.85,29.21,31.76,Waste,,
0.71,4003.08,0.89,29.15,31.86,Waste,,
0.75,4118.21,0.94,29.10,,,,
0.79,4128.34,0.99,29.06,,,,
0.83,4135.67,1.04,29.01,,,,
0.87,4159.94,1.09,28.93,,,,
0.91,4169.46,1.14,28.77,,,,
0.95,4170.68,1.19,28.49,,,,
0.99,4200.10,1.24,28.10,,,,
1.03,4226.44,1.29,27.67,,,,
1.07,4299.13,1.34,27.25,,,,
1.11,4320.90,1.39,26.88,,,,
1.15,4342.35,1.44,26.60,,,,
1.19,4361.92,1.49,26.39,,,,
1.23,4382.18,1.54,26.24,,,,
1.27,4386.59,1.59,26.13,,,,
1.31,4369.20,1.64,26.05,,,,
1.35,4361.31,1.69,25.99,,,,
1.39,4376.81,1.74,25.95,,,,
1.43,4382.58,1.79,25.92,,,,
1.47,4391.49,1.84,25.90,,,,
1.51,4373.27,1.89,25.88,,,,
1.55,4423.00,1.94,25.87,,,,
1.59,4422.88,1.99,25.86,,,,
1.63,4413.95,2.04,25.85,,,,
1.67,4417.59,2.09,25.85,,,,
1.71,4431.55,2.14,25.85,,,,
1.75,4442.06,2.19,25.85,,,,
1.79,4453.72,2.24,25.85,,,,
1.83,4458.17,2.29,25.85,,,,
1.87,4483.20,2.34,25.85,,,,
1.91,4476.26,2.39,25.85,,,,
1.94,4440.10,2.44,25.84,,,,
1.98,4419.03,2.49,25.85,,,,
2.02,4408.62,2.54,25.85,,,,
2.06,4426.48,2.59,25.85,,,,
2.10,4388.58,2.63,25.86,,,,
2.14,4392.52,2.68,25.86,,,,
2.18,4386.66,2.73,25.87,,,,
2.22,4358.90,2.78,25.87,,,,
2.26,4367.72,2.83,25.88,,,,
2.30,4399.32,2.88,25.89,,,,
2.34,4410.58,2.93,25.90,,,,
2.38,4388.90,2.98,25.91,,,,
2.42,4367.73,3.03,25.92,,,,
2.46,4357.21,3.08,25.94,,,,
2.50,4372.03,3.13,25.95,,,,
2.54,4342.72,3.18,25.96,,,,
2.58,4325.53,3.23,25.98,,,,
2.62,4333.83,3.28,26.00,,,,
2.66,4398.74,3.33,26.03,,,,
2.70,4372.99,3.38,26.06,,,,
2.74,4370.62,3.43,26.08,,,,
2.78,4339.61,3.48,26.12,,,,
2.82,4401.85,3.53,26.15,,,,
2.86,4406.90,3.58,26.19,,,,
2.90,4414.90,3.63,26.22,,,,
2.94,4388.19,3.68,26.25,,,,
2.98,4378.91,3.73,15.56,,,,
3.02,4379.24,3.78,19.75,,,,
3.06,4359.12,3.83,22.42,,,,
3.10,4390.24,3.88,23.30,,,,
3.14,4416.09,3.93,23.78,,,,
3.18,4440.10,3.98,24.33,,,,
3.21,4450.51,4.03,24.45,,,,
3.25,4421.26,4.08,24.69,,,,
3.29,4382.34,4.13,25.09,,,,
3.33,4367.95,4.18,26.50,,,,
3.37,4366.24,4.23,26.90,,,,
3.41,4354.78,4.28,27.30,,,,
3.45,4351.43,4.33,27.51,,,,
3.49,4342.45,4.37,27.74,,,,
3.53,4346.38,4.42,28.00,,,,
3.57,4342.02,4.47,28.25,,,,
3.61,4411.84,4.52,28.52,,,,
3.65,4486.06,4.57,28.74,,,,
3.69,4587.31,4.62,28.99,,,,
3.73,4595.57,4.67,29.14,,,,
3.77,4563.50,4.72,29.32,,,,
3.81,4478.10,4.77,29.44,,,,
3.85,4434.00,4.82,29.52,,,,
3.89,4352.99,4.87,29.59,,,,
3.93,4270.79,4.92,29.66,,,,
3.97,4210.40,4.97,29.71,,,,
4.01,4176.13,5.02,29.75,,,,
4.05,4150.24,5.07,29.78,,,,
4.09,4098.93,5.12,29.79,,,,
4.13,4055.20,5.17,29.82,,,,
4.17,3991.20,5.22,29.83,,,,
4.21,3951.09,5.27,29.87,,,,
4.25,3877.92,5.32,29.89,,,,
4.29,3862.86,5.37,29.90,,,,
4.33,3852.81,5.42,29.91,,,,
4.37,3855.75,5.47,25.47,,,,
4.41,3818.89,5.52,25.33,,,,
4.45,3748.22,5.57,27.23,,,,
4.48,3734.48,5.62,29.42,,,,
4.52,3650.97,5.67,29.56,,,,
4.56,3629.61,5.72,29.74,,,,
4.60,3568.58,5.77,29.69,,,,
4.64,3557.25,5.82,29.95,,,,
4.68,3508.24,5.87,29.87,,,,
4.72,3451.39,5.92,29.94,,,,
4.76,3394.96,5.97,29.96,,,,
4.80,3394.71,6.02,29.94,,,,
4.84,3382.86,6.07,29.92,,,,
4.88,3383.92,6.12,29.92,,,,
4.92,3351.60,6.16,29.87,,,,
4.96,3328.80,6.21,29.81,,,,
5.00,3338.69,6.26,29.75,,,,
5.04,3327.99,6.31,29.67,,,,
5.08,3289.92,6.36,29.67,,,,
5.12,3253.23,6.41,29.62,,,,
5.16,3251.26,6.46,29.56,,,,
5.20,3208.91,6.51,29.52,,,,
5.24,3219.01,6.56,29.51,,,,
5.28,3214.76,6.61,29.48,,,,
5.32,3234.51,6.66,29.45,,,,
5.36,3547.45,6.71,29.45,,,,
5.40,3819.71,6.76,29.44,,,,
5.44,3905.12,6.81,29.44,,,,
5.48,3748.52,6.86,29.44,,,,
5.52,3427.95,6.91,29.44,,,,
5.56,3198.35,6.96,29.40,,,,
5.60,2968.98,7.01,29.42,,,,
5.64,2759.23,7.06,29.40,,,,
5.68,2561.46,7.11,29.43,,,,
5.72,2378.69,7.16,29.39,,,,
5.75,2207.98,7.21,29.42,,,,
5.79,2079.38,7.26,29.42,,,,
5.83,1993.68,7.31,29.42,,,,
5.87,1925.43,7.36,29.42,,,,
5.91,1871.72,7.41,29.42,,,,
5.95,1818.49,7.46,29.38,,,,
5.99,1767.51,7.51,29.42,,,,
6.03,1719.29,7.56,29.42,,,,
6.07,1675.26,7.61,29.42,,,,
6.11,1642.88,7.66,29.43,,,,
6.15,1606.87,7.71,29.43,,,,
6.19,1574.25,7.76,29.43,,,,
6.23,1533.50,7.81,29.44,,,,
6.27,1497.47,7.86,29.44,,,,
6.31,1461.18,7.90,29.44,,,,
6.35,1429.91,7.95,29.44,,,,
6.39,1402.79,8.00,29.44,,,,
6.43,1377.09,8.05,29.45,,,,
6.47,1348.64,8.10,29.44,,,,
6.51,1321.38,8.15,29.45,,,,
6.55,1291.39,8.20,29.45,,,,
6.59,1264.79,8.25,29.45,,,,
6.63,1241.63,8.30,29.45,,,,
6.67,1218.61,8.35,29.45,,,,
6.71,1198.55,8.40,29.45,,,,
6.75,1178.20,8.45,29.45,,,,
6.79,1158.77,8.50,29.45,,,,
6.83,1136.06,8.55,29.46,,,,
6.87,1115.57,8.60,29.46,,,,
6.91,1098.44,8.65,29.46,,,,
6.95,1080.62,8.70,29.46,,,,
6.99,1062.40,8.75,29.45,,,,
7.02,1039.97,8.80,29.45,,,,
7.06,1025.22,8.85,29.45,,,,
7.10,1008.19,8.90,29.45,,,,
7.14,991.58,8.95,29.46,,,,
7.18,973.25,9.00,29.46,,,,
7.22,950.83,9.05,29.47,,,,
7.26,932.93,9.10,29.48,,,,
7.30,916.39,9.15,29.49,,,,
7.34,903.74,9.20,29.49,,,,
7.38,893.21,9.25,29.48,,,,
7.42,876.81,9.30,29.48,,,,
7.46,861.67,9.35,29.49,,,,
7.50,835.58,9.40,29.49,,,,
7.54,819.42,9.45,29.50,,,,
7.58,808.65,9.50,29.51,,,,
7.62,792.78,9.55,29.51,,,,
7.66,779.85,9.60,29.52,,,,
7.70,761.86,9.64,29.52,,,,
7.74,746.64,9.69,29.52,,,,
7.78,727.36,9.74,29.51,,,,
7.82,710.78,9.79,29.51,,,,
7.86,695.58,9.84,29.52,,,,
7.90,685.02,9.89,29.47,,,,
7.94,669.34,9.94,29.53,,,,
7.98,654.35,9.99,29.52,,,,
8.02,637.66,10.04,29.54,,,,
8.06,625.61,10.09,29.53,,,,
8.10,611.33,10.14,29.54,,,,
8.14,595.57,10.19,29.55,,,,
8.18,578.81,10.24,29.55,,,,
8.22,565.39,10.29,29.55,,,,
8.26,552.45,10.34,29.54,,,,
8.30,540.57,10.39,29.54,,,,
8.33,531.78,10.44,29.52,,,,
8.37,518.93,10.49,29.54,,,,
8.41,507.06,10.54,29.54,,,,
8.45,492.37,10.59,29.49,,,,
8.49,480.56,10.64,29.53,,,,
8.53,468.74,10.69,29.55,,,,
8.57,455.25,10.74,29.56,,,,
8.61,444.79,10.79,29.56,,,,
8.65,433.24,10.84,29.57,,,,
8.69,422.81,10.89,29.57,,,,
8.73,413.22,10.94,29.56,,,,
8.77,402.37,10.99,29.57,,,,
8.81,394.72,11.04,29.57,,,,
8.85,384.61,11.09,29.57,,,,
8.89,375.16,11.14,29.57,,,,
8.93,364.68,11.19,29.53,,,,
8.97,356.80,11.24,29.58,,,,
9.01,347.30,11.29,29.58,,,,
9.05,338.83,11.34,29.59,,,,
9.09,326.35,11.38,29.59,,,,
9.13,317.19,11.43,29.60,,,,
9.17,313.40,11.48,29.61,,,,
9.21,306.76,11.53,29.61,,,,
9.25,298.20,11.58,29.62,,,,
9.29,285.42,11.63,29.64,,,,
9.33,275.59,11.68,29.65,,,,
9.37,267.78,11.73,29.67,,,,
9.41,262.40,11.78,29.69,,,,
9.45,256.57,11.83,29.69,,,,
9.49,251.22,11.88,29.71,,,,
9.53,243.99,11.93,29.73,,,,
9.57,235.72,11.98,29.75,,,,
9.60,228.09,12.03,29.78,,,,
9.64,223.82,12.08,29.80,,,,
9.68,219.14,12.13,30.12,,,,
9.72,213.13,12.18,30.10,,,,
9.76,210.59,12.23,28.58,,,,
9.80,214.41,12.28,26.63,,,,
9.84,209.94,12.33,29.50,,,,
9.88,208.95,12.38,29.90,,,,
9.92,192.12,12.43,29.87,,,,
9.96,188.14,12.48,29.91,,,,
10.00,179.06,12.53,29.91,,,,
10.04,175.69,12.58,29.94,,,,
10.08,172.43,12.63,29.91,,,,
10.12,169.26,12.68,29.89,,,,
10.16,166.44,12.73,30.02,,,,
10.20,163.03,12.78,30.06,,,,
10.24,159.97,12.83,30.08,,,,
10.28,157.29,12.88,30.12,,,,
10.32,161.13,12.93,30.17,,,,
10.36,158.89,12.98,30.22,,,,
10.40,158.55,13.03,30.25,,,,
10.44,151.31,13.08,30.28,,,,
10.48,160.77,13.12,30.29,,,,
10.52,162.75,13.17,30.33,,,,
10.56,158.12,13.22,30.37,,,,
10.60,147.04,13.27,30.41,,,,
10.64,140.62,13.32,30.44,,,,
10.68,135.15,13.37,30.47,,,,
10.72,134.95,13.42,30.50,,,,
10.76,133.64,13.47,30.54,,,,
10.80,132.14,13.52,30.57,,,,
10.84,135.14,13.57,30.59,,,,
10.87,132.17,13.62,30.64,,,,
10.91,130.66,13.67,30.67,,,,
10.95,124.91,13.72,30.70,,,,
10.99,122.39,13.77,30.74,,,,
11.03,123.59,13.82,30.78,,,,
11.07,128.13,13.87,30.81,,,,
11.11,126.93,13.92,30.84,,,,
11.15,122.86,13.97,30.87,,,,
11.19,116.14,14.02,30.90,,,,
11.23,116.73,14.07,30.91,,,,
11.27,116.15,14.12,30.95,,,,
11.31,115.60,14.17,31.00,,,,
11.35,114.13,14.22,31.03,,,,
11.39,112.08,14.27,31.07,,,,
11.43,111.32,14.32,31.10,,,,
11.47,110.76,14.37,31.13,,,,
11.51,110.67,14.42,31.17,,,,
11.55,110.54,14.47,31.21,,,,
11.59,110.46,14.52,31.24,,,,
11.63,110.28,14.57,31.27,,,,
11.67,110.49,14.62,31.29,,,,
11.71,111.12,14.67,31.33,,,,
11.75,111.69,14.72,31.36,,,,
11.79,112.65,14.77,31.40,,,,
11.83,113.78,14.82,31.43,,,,
11.87,114.98,14.86,31.47,,,,
11.91,116.34,14.91,31.50,,,,
11.95,117.80,14.96,31.53,,,,
11.99,119.88,15.01,31.57,,,,
12.03,122.22,15.06,31.59,,,,
12.07,124.98,15.11,31.63,,,,
12.11,127.87,15.16,31.66,,,,
12.14,980.37,15.21,31.70,,,,
12.18,1115.08,15.26,31.73,,,,
12.22,1274.08,15.31,31.76,,,,
12.26,799.37,15.36,31.79,,,,
12.30,719.57,15.41,31.82,,,,
12.34,741.15,15.46,31.87,,,,
12.38,698.76,15.51,31.89,,,,
12.42,615.49,15.56,31.93,,,,
12.46,530.31,15.61,31.97,,,,
12.50,470.65,15.66,32.00,,,,
12.54,477.73,15.71,32.04,,,,
12.58,501.12,15.76,32.08,,,,
12.62,542.60,15.81,32.12,,,,
12.66,557.25,15.86,32.14,,,,
12.70,570.30,15.91,32.18,,,,
12.74,593.77,15.96,32.23,,,,
12.78,605.92,16.01,32.26,,,,
12.82,615.89,16.06,32.29,,,,
12.86,617.91,16.11,32.32,,,,
12.90,629.62,16.16,32.35,,,,
12.94,649.19,16.21,32.39,,,,
12.98,664.54,16.26,32.44,,,,
13.02,672.53,16.31,32.48,,,,
13.06,673.07,16.36,32.45,,,,
13.10,665.53,16.41,32.56,,,,
13.14,663.61,16.46,32.60,,,,
13.18,660.79,16.51,32.64,,,,
13.22,656.84,16.56,32.68,,,,
13.26,651.29,16.60,32.73,,,,
13.30,645.06,16.65,32.77,,,,
13.34,638.22,16.70,32.81,,,,
13.38,632.45,16.75,32.85,,,,
13.41,627.04,16.80,32.81,,,,
13.45,621.64,16.85,32.93,,,,
13.49,616.43,16.90,32.96,,,,
13.53,611.18,16.95,32.99,,,,
13.57,606.54,17.00,33.03,,,,
13.61,602.18,17.05,33.06,,,,
13.65,597.89,17.10,33.10,,,,
13.69,594.00,17.15,33.13,,,,
13.73,589.88,17.20,33.15,,,,
13.77,586.70,17.25,33.21,,,,
13.81,584.42,17.30,33.27,,,,
13.85,582.66,17.35,33.31,,,,
13.89,581.72,17.40,33.34,,,,
13.93,580.69,17.45,33.38,,,,
13.97,583.96,17.50,33.41,,,,
14.01,586.68,17.55,33.45,,,,
14.05,588.59,17.60,33.49,,,,
14.09,588.51,17.65,33.53,,,,
14.13,589.52,17.70,33.57,,,,
14.17,592.85,17.75,33.62,,,,
14.21,597.56,17.80,33.65,,,,
14.25,602.94,17.85,33.68,,,,
14.29,608.98,17.90,33.74,,,,
14.33,615.05,17.95,33.78,,,,
14.37,621.78,18.00,33.82,,,,
14.41,629.50,18.05,33.84,,,,
14.45,637.99,18.10,33.85,,,,
14.49,646.52,18.15,33.93,,,,
14.53,655.41,18.20,33.96,,,,
14.57,665.30,18.25,34.00,,,,
14.61,675.78,18.30,34.04,,,,
14.65,686.62,18.35,34.05,,,,
14.68,697.59,18.39,34.11,,,,
14.72,709.05,18.44,34.15,,,,
14.76,721.10,18.49,34.18,,,,
14.80,733.68,18.54,34.22,,,,
14.84,745.94,18.59,34.25,,,,
14.88,758.47,18.64,34.29,,,,
14.92,771.46,18.69,34.33,,,,
14.96,784.61,18.74,34.38,,,,
15.00,797.51,18.79,34.42,,,,
15.04,810.58,18.84,34.47,,,,
15.08,824.14,18.89,34.50,,,,
15.12,837.83,18.94,34.54,,,,
15.16,851.67,18.99,34.58,,,,
15.20,864.90,19.04,34.61,,,,
15.24,877.47,19.09,34.65,,,,
15.28,889.05,19.14,34.69,,,,
15.32,899.42,19.19,34.72,,,,
15.36,909.60,19.24,34.76,,,,
15.40,919.59,19.29,34.80,,,,
15.44,929.40,19.34,34.84,,,,
15.48,938.92,19.39,34.89,,,,
15.52,948.52,19.44,34.92,,,,
15.56,957.64,19.49,34.97,,,,
15.60,966.62,19.54,35.01,,,,
15.64,974.99,19.59,35.04,,,,
15.68,983.13,19.64,35.07,,,,
15.72,990.98,19.69,35.00,,,,
15.76,998.22,19.74,35.17,,,,
15.80,1004.67,19.79,35.21,,,,
15.84,1008.23,19.84,35.25,,,,
15.88,1011.88,19.89,35.29,,,,
15.92,1013.88,19.94,35.33,,,,
15.96,1018.50,19.99,35.36,,,,
15.99,1020.62,20.04,35.40,,,,
16.03,1021.32,20.09,35.44,,,,
16.07,1021.68,20.13,35.47,,,,
16.11,1020.17,20.18,35.52,,,,
16.15,1007.71,20.23,35.56,,,,
16.19,994.90,20.28,35.60,,,,
16.23,979.33,20.33,35.64,,,,
16.27,975.76,20.38,35.68,,,,
16.31,971.14,20.43,35.72,,,,
16.35,967.32,20.48,35.76,,,,
16.39,966.13,20.53,35.80,,,,
16.43,966.03,20.58,35.84,,,,
16.47,965.83,20.63,35.87,,,,
16.51,965.32,20.68,35.90,,,,
16.55,964.93,20.73,35.93,,,,
16.59,964.32,20.78,35.97,,,,
16.63,963.65,20.83,36.02,,,,
16.67,962.55,20.88,36.06,,,,
16.71,961.24,20.93,36.10,,,,
16.75,959.66,20.98,36.14,,,,
16.79,957.88,21.03,36.19,,,,
16.83,955.74,21.08,36.24,,,,
16.87,953.44,21.13,36.28,,,,
16.91,951.06,21.18,36.32,,,,
16.95,948.56,21.23,36.35,,,,
16.99,945.87,21.28,36.39,,,,
17.03,942.73,21.33,36.43,,,,
17.07,939.76,21.38,36.46,,,,
17.11,936.84,21.43,36.50,,,,
17.15,934.03,21.48,36.54,,,,
17.19,930.93,21.53,36.58,,,,
17.23,927.67,21.58,36.62,,,,
17.26,924.22,21.63,36.66,,,,
17.30,920.88,21.68,36.70,,,,
17.34,917.27,21.73,36.74,,,,
17.38,913.35,21.78,36.78,,,,
17.42,909.60,21.83,36.81,,,,
17.46,905.80,21.87,36.85,,,,
17.50,902.09,21.92,36.87,,,,
17.54,899.06,21.97,36.90,,,,
17.58,895.13,22.02,36.94,,,,
17.62,891.25,22.07,36.98,,,,
17.66,886.85,22.12,37.02,,,,
17.70,882.89,22.17,37.05,,,,
17.74,879.33,22.22,37.10,,,,
17.78,875.41,22.27,37.15,,,,
17.82,871.49,22.32,37.19,,,,
17.86,867.76,22.37,37.25,,,,
17.90,864.43,22.42,37.29,,,,
17.94,860.96,22.47,37.33,,,,
